kom,alder,tid,ledige
1101 Eigersund,15-74 år,1999M01,1.5
1101 Eigersund,15-74 år,1999M02,1.5
1101 Eigersund,15-74 år,1999M03,1.3
1101 Eigersund,15-74 år,1999M04,1.8
1101 Eigersund,15-74 år,1999M05,1.3
1101 Eigersund,15-74 år,1999M06,1.4
1101 Eigersund,15-74 år,1999M07,2
1101 Eigersund,15-74 år,1999M08,2.4
1101 Eigersund,15-74 år,1999M09,1.9
1101 Eigersund,15-74 år,1999M10,1.6
1101 Eigersund,15-74 år,1999M11,1.5
1101 Eigersund,15-74 år,1999M12,1.6
1101 Eigersund,15-74 år,2000M01,2.1
1101 Eigersund,15-74 år,2000M02,1.9
1101 Eigersund,15-74 år,2000M03,2
1101 Eigersund,15-74 år,2000M04,2.7
1101 Eigersund,15-74 år,2000M05,2.6
1101 Eigersund,15-74 år,2000M06,3.3
1101 Eigersund,15-74 år,2000M07,4.9
1101 Eigersund,15-74 år,2000M08,3.7
1101 Eigersund,15-74 år,2000M09,3.1
1101 Eigersund,15-74 år,2000M10,2.6
1101 Eigersund,15-74 år,2000M11,2.6
1101 Eigersund,15-74 år,2000M12,3
1101 Eigersund,15-74 år,2001M01,2.8
1101 Eigersund,15-74 år,2001M02,2.6
1101 Eigersund,15-74 år,2001M03,2.6
1101 Eigersund,15-74 år,2001M04,2.7
1101 Eigersund,15-74 år,2001M05,2.3
1101 Eigersund,15-74 år,2001M06,2.1
1101 Eigersund,15-74 år,2001M07,2.7
1101 Eigersund,15-74 år,2001M08,2.6
1101 Eigersund,15-74 år,2001M09,2.2
1101 Eigersund,15-74 år,2001M10,2
1101 Eigersund,15-74 år,2001M11,2
1101 Eigersund,15-74 år,2001M12,2.1
1101 Eigersund,15-74 år,2002M01,2.3
1101 Eigersund,15-74 år,2002M02,2.2
1101 Eigersund,15-74 år,2002M03,2.1
1101 Eigersund,15-74 år,2002M04,2.3
1101 Eigersund,15-74 år,2002M05,2
1101 Eigersund,15-74 år,2002M06,1.7
1101 Eigersund,15-74 år,2002M07,2.4
1101 Eigersund,15-74 år,2002M08,2.4
1101 Eigersund,15-74 år,2002M09,2.1
1101 Eigersund,15-74 år,2002M10,2.1
1101 Eigersund,15-74 år,2002M11,3
1101 Eigersund,15-74 år,2002M12,2.9
1101 Eigersund,15-29 år,1999M01,2
1101 Eigersund,15-29 år,1999M02,1.8
1101 Eigersund,15-29 år,1999M03,1.7
1101 Eigersund,15-29 år,1999M04,2.5
1101 Eigersund,15-29 år,1999M05,1.7
1101 Eigersund,15-29 år,1999M06,1.9
1101 Eigersund,15-29 år,1999M07,2.6
1101 Eigersund,15-29 år,1999M08,2.9
1101 Eigersund,15-29 år,1999M09,2.1
1101 Eigersund,15-29 år,1999M10,2.1
1101 Eigersund,15-29 år,1999M11,2
1101 Eigersund,15-29 år,1999M12,2.5
1101 Eigersund,15-29 år,2000M01,3
1101 Eigersund,15-29 år,2000M02,3.3
1101 Eigersund,15-29 år,2000M03,2.7
1101 Eigersund,15-29 år,2000M04,3.9
1101 Eigersund,15-29 år,2000M05,3.6
1101 Eigersund,15-29 år,2000M06,4.8
1101 Eigersund,15-29 år,2000M07,6.1
1101 Eigersund,15-29 år,2000M08,5.1
1101 Eigersund,15-29 år,2000M09,4
1101 Eigersund,15-29 år,2000M10,3.3
1101 Eigersund,15-29 år,2000M11,2.9
1101 Eigersund,15-29 år,2000M12,3.5
1101 Eigersund,15-29 år,2001M01,3.8
1101 Eigersund,15-29 år,2001M02,3.4
1101 Eigersund,15-29 år,2001M03,3.5
1101 Eigersund,15-29 år,2001M04,3.3
1101 Eigersund,15-29 år,2001M05,2.9
1101 Eigersund,15-29 år,2001M06,2.2
1101 Eigersund,15-29 år,2001M07,3.1
1101 Eigersund,15-29 år,2001M08,3.7
1101 Eigersund,15-29 år,2001M09,2.9
1101 Eigersund,15-29 år,2001M10,2.5
1101 Eigersund,15-29 år,2001M11,2.6
1101 Eigersund,15-29 år,2001M12,2.7
1101 Eigersund,15-29 år,2002M01,2.8
1101 Eigersund,15-29 år,2002M02,2.7
1101 Eigersund,15-29 år,2002M03,2.7
1101 Eigersund,15-29 år,2002M04,2.6
1101 Eigersund,15-29 år,2002M05,2
1101 Eigersund,15-29 år,2002M06,2.2
1101 Eigersund,15-29 år,2002M07,3.1
1101 Eigersund,15-29 år,2002M08,3.4
1101 Eigersund,15-29 år,2002M09,2.6
1101 Eigersund,15-29 år,2002M10,2.7
1101 Eigersund,15-29 år,2002M11,3.9
1101 Eigersund,15-29 år,2002M12,3.8
1101 Eigersund,30-74 år,1999M01,1.3
1101 Eigersund,30-74 år,1999M02,1.3
1101 Eigersund,30-74 år,1999M03,1.1
1101 Eigersund,30-74 år,1999M04,1.5
1101 Eigersund,30-74 år,1999M05,1.2
1101 Eigersund,30-74 år,1999M06,1.2
1101 Eigersund,30-74 år,1999M07,1.7
1101 Eigersund,30-74 år,1999M08,2.2
1101 Eigersund,30-74 år,1999M09,1.8
1101 Eigersund,30-74 år,1999M10,1.5
1101 Eigersund,30-74 år,1999M11,1.3
1101 Eigersund,30-74 år,1999M12,1.2
1101 Eigersund,30-74 år,2000M01,1.8
1101 Eigersund,30-74 år,2000M02,1.4
1101 Eigersund,30-74 år,2000M03,1.7
1101 Eigersund,30-74 år,2000M04,2.2
1101 Eigersund,30-74 år,2000M05,2.2
1101 Eigersund,30-74 år,2000M06,2.7
1101 Eigersund,30-74 år,2000M07,4.5
1101 Eigersund,30-74 år,2000M08,3.1
1101 Eigersund,30-74 år,2000M09,2.8
1101 Eigersund,30-74 år,2000M10,2.3
1101 Eigersund,30-74 år,2000M11,2.6
1101 Eigersund,30-74 år,2000M12,2.9
1101 Eigersund,30-74 år,2001M01,2.4
1101 Eigersund,30-74 år,2001M02,2.3
1101 Eigersund,30-74 år,2001M03,2.2
1101 Eigersund,30-74 år,2001M04,2.5
1101 Eigersund,30-74 år,2001M05,2.1
1101 Eigersund,30-74 år,2001M06,2
1101 Eigersund,30-74 år,2001M07,2.6
1101 Eigersund,30-74 år,2001M08,2.2
1101 Eigersund,30-74 år,2001M09,1.9
1101 Eigersund,30-74 år,2001M10,1.9
1101 Eigersund,30-74 år,2001M11,1.8
1101 Eigersund,30-74 år,2001M12,1.9
1101 Eigersund,30-74 år,2002M01,2.1
1101 Eigersund,30-74 år,2002M02,2
1101 Eigersund,30-74 år,2002M03,1.8
1101 Eigersund,30-74 år,2002M04,2.2
1101 Eigersund,30-74 år,2002M05,2.1
1101 Eigersund,30-74 år,2002M06,1.5
